type_key,year,month,programs,registrations
adult_tm,2024,2,1,8
adult_tm,2024,3,1,8
adult_tm,2024,4,1,7
adult_tm,2024,5,2,15
adult_tm,2024,6,1,10
adult_tm,2024,7,1,10
adult_tm,2024,8,1,18
adult_tm,2024,9,5,48
adult_tm,2024,10,3,26
adult_tm,2024,11,3,37
adult_tm,2024,12,1,12
adult_tm,2025,3,1,10
adult_tm,2025,4,2,15
adult_tm,2025,6,2,23
adult_tm,2025,7,3,40
adult_tm,2025,9,3,27
adult_tm,2025,10,2,21
adult_tm,2025,11,3,17
adult_tm,2026,1,2,26
adult_tm,2026,3,2,21
adult_tm,2026,4,3,21
adult_tm,2026,5,4,45
adult_tm,2026,6,1,12
adult_tm,2026,7,2,25
adult_tm,2026,8,3,38
adult_tp,2024,1,2,17
adult_tp,2024,2,4,30
adult_tp,2024,3,6,54
adult_tp,2024,4,11,101
adult_tp,2024,5,8,57
adult_tp,2024,6,9,81
adult_tp,2024,7,12,101
adult_tp,2024,8,4,39
adult_tp,2024,9,10,91
adult_tp,2024,10,14,106
adult_tp,2024,11,3,29
adult_tp,2024,12,3,22
adult_tp,2025,1,1,7
adult_tp,2025,2,2,16
adult_tp,2025,3,7,67
adult_tp,2025,4,5,48
adult_tp,2025,5,7,56
adult_tp,2025,6,6,62
adult_tp,2025,7,9,76
adult_tp,2025,8,4,35
adult_tp,2025,9,11,101
adult_tp,2025,10,11,92
adult_tp,2025,11,4,36
adult_tp,2025,12,1,8
adult_tp,2026,1,6,57
adult_tp,2026,2,2,19
adult_tp,2026,3,9,76
adult_tp,2026,4,7,69
adult_tp,2026,5,4,47
adult_tp,2026,6,8,87
adult_tp,2026,7,8,69
adult_tp,2026,8,8,69
adult_tt,2024,1,3,24
adult_tt,2024,2,3,25
adult_tt,2024,3,21,237
adult_tt,2024,4,30,257
adult_tt,2024,5,19,174
adult_tt,2024,6,23,208
adult_tt,2024,7,15,154
adult_tt,2024,8,10,106
adult_tt,2024,9,30,294
adult_tt,2024,10,16,139
adult_tt,2024,11,7,62
adult_tt,2024,12,1,5
adult_tt,2025,1,5,35
adult_tt,2025,2,7,49
adult_tt,2025,3,22,216
adult_tt,2025,4,19,208
adult_tt,2025,5,16,158
adult_tt,2025,6,19,183
adult_tt,2025,7,11,133
adult_tt,2025,8,10,112
adult_tt,2025,9,20,218
adult_tt,2025,10,16,160
adult_tt,2025,11,6,47
adult_tt,2025,12,2,11
adult_tt,2026,1,7,76
adult_tt,2026,2,6,61
adult_tt,2026,3,18,178
adult_tt,2026,4,21,236
adult_tt,2026,5,14,138
adult_tt,2026,6,18,184
adult_tt,2026,7,17,166
adult_tt,2026,8,11,118
junior_tt,2024,2,3,20
junior_tt,2024,3,11,103
junior_tt,2024,4,13,116
junior_tt,2024,5,14,152
junior_tt,2024,6,13,118
junior_tt,2024,7,16,136
junior_tt,2024,8,5,43
junior_tt,2024,9,14,115
junior_tt,2024,10,7,56
junior_tt,2024,11,4,20
junior_tt,2024,12,1,4
junior_tt,2025,1,4,19
junior_tt,2025,2,2,16
junior_tt,2025,3,14,126
junior_tt,2025,4,6,57
junior_tt,2025,5,8,73
junior_tt,2025,6,16,122
junior_tt,2025,7,10,95
junior_tt,2025,8,7,73
junior_tt,2025,9,8,82
junior_tt,2025,10,10,77
junior_tt,2025,11,3,21
junior_tt,2025,12,2,9
junior_tt,2026,1,4,32
junior_tt,2026,2,1,5
junior_tt,2026,3,13,123
junior_tt,2026,4,7,49
junior_tt,2026,5,9,67
junior_tt,2026,6,15,143
junior_tt,2026,7,9,69
junior_tt,2026,8,8,74
